"Case Number","Title","Category","Status","Staff Pick","Published At","Word Count","Citation Count","Tags","Teaser","Verified Sources"
"CB-000042","Diversity Denial: The United States Has Conducted This Experiment Before. The Primary Source Record Shows Exactly What Was Lost.","us_history","published","Yes","2026-03-22","1500","17","historical_figure, civil_rights, immigration, science_medicine, military, labor, education, contemporary","Every time the United States narrowed the pool, the federal record documents a measurable cost. Every time it drew from its full range of human talent, the record documents a measurable return. This is not a debate. This is a ledger.","National Archives: Federal Records Collection :: National Archives and Records Administration. (n.d.). Federal Records and Historical Documents. NARA, Washington, D.C.; NASA: Aerospace Innovation Records :: National Aeronautics and Space Administration. (2024). Historical Records and Research Archive. Washington, D.C.; Federal Reserve: Economic Research :: Board of Governors of the Federal Reserve System. (2024). Economic Research and Data Publications. Federal Reserve Board, Washington, D.C.; U.S. Patent and Trademark Office: Patent Records :: U.S. Patent and Trademark Office. (2024). Patent Activity and Innovation Data. U.S. Department of Commerce.; NIH National Library of Medicine: Research Archive :: National Library of Medicine. (2024). Medical Research Collections. National Institutes of Health, Bethesda, Maryland.; American Immigration Council: Immigration Research :: American Immigration Council. (2024). Research and Policy Analysis. American Immigration Council, Washington, D.C.; USDA National Agricultural Library: Agricultural Research :: U.S. Department of Agriculture, National Agricultural Library. (2024). Agricultural Research Collections. Beltsville, Maryland."
"CB-000059","Harriet Tubman Never Lost an Enslaved Passenger. Irena Sendler Never Gave Up a Jew. A Primary Source Record of Two Women Who Refused to Fail.","how_it_works","published","No","2026-03-22","2517","9","selflessness, humanity, courage, harriet-tubman, irena-sendler, chiune-sugihara, hugh-thompson, vasili-arkhipov, nicholas-winton, underground-railroad, holocaust, human-rights","They had nothing in common. One was a woman born into American slavery who could not read. One was a Japanese diplomat trained in a bureaucracy that valued protocol above everything. One was a Polish Catholic social worker. One was a Soviet submarine officer. One was a United States Army helicopter pilot. One was a British stockbroker who kept a secret for fifty years. One was a village. What they shared was a single decision, made in a specific moment at a specific cost, to place the life directly in front of them above the system telling them to look away. ClownBinge documents two and a half centuries of that decision.","National Park Service: Historical Documentation :: National Park Service. (n.d.). Historical Records and Research. U.S. Department of the Interior.; Yad Vashem: Holocaust Documentation :: Yad Vashem Holocaust Memorial Authority. (n.d.). The World Holocaust Remembrance Center. Jerusalem, Israel.; National Security Archive: Declassified Documents :: National Security Archive, George Washington University. (n.d.). Declassified Document Collection. Washington, D.C.; U.S. Army Center of Military History: Official War Records :: U.S. Army Center of Military History. (n.d.). Official Historical Records. U.S. Department of Defense, Washington, D.C.; Imperial War Museum: War Documentation :: Imperial War Museum. (n.d.). Collections and Research Archive. London, United Kingdom.; Bulletin of the Atomic Scientists: Historical Research :: Bulletin of the Atomic Scientists. (1945-present). Published research on nuclear weapons and global security. Chicago, Illinois.; Library of Congress: Primary Source Collections :: Library of Congress. (n.d.). Primary Source Collections. Washington, D.C."
"CB-000007","Absurd: Sen. Ted Cruz Claims 'Christ is King' is Anti-Jewish. Yes He Actually Said it. Except, Of Course, Jesus Was Jewish.","self_owned","published","No","2026-03-22","963","8","ted cruz, christ is king, antisemitism, aipac, evangelical, texas, senate, clown_electeds","In a March 2026 CBN News interview, the Texas senator told a Christian audience that one of Christianity's oldest theological affirmations is, in his words, 'I hate the Jews.' His evangelical base responded immediately. So did the FEC records.","Ted Cruz: FEC Campaign Finance Records :: Federal Election Commission. (2024). Ted Cruz for Senate Campaign Finance Disclosures. FEC Public Records Archive. (Includes AIPAC-connected PAC contributions.); Ted Cruz: Official Senate Statement :: Cruz, T. (2025). Public statement regarding use of ""Christ is King."" Congressional Record, 119th Congress, 1st Session."
"CB-000056","The Strongest Thing: What the Research Has Always Known About Love, Healing, and Long Life","health_and_healing","published","No","2026-03-22","1423","8","love, forgiveness, healing, longevity, mental-health, well-being, social-psychology, relationships, health","Western culture assigned love, forgiveness, and emotional repair to the category of softness. The longitudinal health data filed a different report. Across eight decades of peer-reviewed research, the finding is consistent: the people who love well, forgive deliberately, and pursue healing as a practice live longer, suffer less chronic illness, and report higher levels of meaning at the end of their lives. This is not philosophy. It is measurement.","Harvard Study of Adult Development :: Waldinger, R.J., and Schulz, M.S. (2023). The Good Life: Lessons from the World Longest Scientific Study of Happiness. Harvard Study of Adult Development, Harvard Medical School, Boston, Massachusetts.; Stanford Forgiveness Project :: Luskin, F. (2023). Stanford Forgiveness Project Research. Stanford University, Stanford, California.; American Psychological Association: Social Connection Research :: American Psychological Association. (2023). Research Reports on Social Connection and Well-Being. APA, Washington, D.C.; NIH National Institute on Aging: Longevity Research :: National Institute on Aging. (2023). Research on Social Isolation and Loneliness. National Institutes of Health, Bethesda, Maryland.; Journal of Behavioral Medicine: Published Research :: Journal of Behavioral Medicine. (Ongoing). Published peer-reviewed research on behavioral health outcomes. Springer."
"CB-000057","Woke Is Not a Slur. Using It Like One Is as American as Apple Pie: A Chronology of Black Liberation and Survival","us_history","published","No","2026-03-22","1454","9","woke, black-liberation, social-consciousness, african-american-history, language, civil-rights, survival, culture, reclamation","In 1938, Huddie Ledbetter, known as Leadbelly, recorded a song about nine Black teenagers falsely accused of rape in Alabama. At the end, he told Black Americans to stay woke. He meant: pay attention. The threat is real. The word has always meant exactly that. What happened to it after that is also, as it turns out, as American as apple pie.","Merriam-Webster: Woke Etymology Record :: Merriam-Webster Dictionary. (2024). Entry: ""Woke."" First known documented political use traced to Black American freedom movement writing, early 1960s. Merriam-Webster, Inc., Springfield, Massachusetts.; Oxford English Dictionary: Woke Historical Record :: Oxford English Dictionary. (2024). Entry: ""Woke, adj."" Historical citations 1962 onward. Oxford University Press.; Library of Congress: Black Liberation Press Archive :: Library of Congress Periodical and Manuscript Archive. (1962-present). Documented print record of political consciousness terminology in Black American liberation movement publications.; American Psychological Association: Political Consciousness Research :: American Psychological Association. (2023). Research on political identity and group consciousness terminology. APA PsycINFO.; Florida Legislature: Stop W.O.K.E. Act (2022) :: Florida Legislature. (2022). Individual Freedom Act (Stop W.O.K.E. Act), Ch. 2022-72, Laws of Florida. 2022 Regular Session."
"CB-000058","Two Parties Cannot Represent 335 Million People. The Math Has Never Worked. The Record Proves It.","us_history","published","No","2026-03-22","1515","11","two-party-system, polarization, bipartisan, governance, duverger, congress, democracy, political-reform, ideological-diversity, statesmanship","America does not have a shortage of capable legislators. It has a structural crisis. The two-party system compresses the full range of human political belief into two bins, then demands that everyone governing a nation of 335 million people choose one and attack the other. The people who survive that filter are not the most capable of governing. They are the most committed to the binary. That is not the same thing. Here is the documented record.","Congressional Record: Official Proceedings :: U.S. Congress. (1873–present). Congressional Record: Proceedings and Debates of the United States Congress. U.S. Government Publishing Office. https://www.congress.gov/congressional-record; Federalist No. 10 (James Madison, 1787) :: Madison, J. (1787, November 22). Federalist No. 10: The Union as a Safeguard Against Domestic Faction and Insurrection. The Federalist Papers. Library of Congress. https://www.congress.gov/resources/display/content/The+Federalist+Papers; Pew Research Center: Political Typology (2023) :: Pew Research Center. (2023, July). Beyond Red vs. Blue: The Political Typology. Pew Research Center. https://www.pewresearch.org/politics/2023/07/27/the-political-typology-beyond-red-vs-blue/; Pew Research Center: Partisan Antipathy (2022) :: Pew Research Center. (2022, August). As Partisan Hostility Grows, Signs of Frustration With the Two-Party System. Pew Research Center. https://www.pewresearch.org/politics/2022/08/09/as-partisan-hostility-grows-signs-of-frustration-with-the-two-party-system/; Gallup: Party Identification Trends (2024) :: Gallup Organization. (2024). Party Affiliation. Gallup, Inc. https://news.gallup.com/poll/15370/party-affiliation.aspx; Duverger's Law: Political Parties (1951) :: Duverger, M. (1954). Political Parties: Their Organization and Activity in the Modern State (B. North & R. North, Trans.). Wiley. (Original work published 1951).; Servicemen's Readjustment Act of 1944 :: U.S. Congress. (1944). Servicemen's Readjustment Act of 1944, Pub. L. 78-346, 58 Stat. 284. U.S. Government Publishing Office. https://www.loc.gov/rr/frd/Military_Law/pdf/GI-Bill-history.pdf; Civil Rights Act of 1964 — Senate Cloture Vote :: United States Senate Historical Office. (n.d.). Civil Rights Filibuster Ended. U.S. Senate. https://www.senate.gov/artandhistory/history/minute/Civil_Rights_Filibuster_Ended.htm; Social Security Amendments of 1983 :: Social Security Administration. (n.d.). Social Security Amendments of 1983: Legislative History and Summary of Provisions. SSA Historical Archives. https://www.ssa.gov/history/1983amend.html; Americans with Disabilities Act of 1990 :: U.S. Department of Justice. (1990). Americans with Disabilities Act of 1990, Pub. L. 101-336. ADA.gov. https://www.ada.gov/law-and-regs/ada/; PEPFAR — U.S. Department of State :: U.S. Department of State. (n.d.). About PEPFAR. U.S. President's Emergency Plan for AIDS Relief. https://www.pepfar.gov/about/; ANES: American National Election Studies Data :: American National Election Studies. (1948–2024). ANES Time Series Cumulative Data File. University of Michigan and Stanford University. https://electionstudies.org/data-center/anes-time-series-cumulative-data-file/"
"CB-000054","Neither Columbus Nor George Washington Had a Visa: An American Chronology of Death, Displacement, Theatrical Property Rights and the Historical Meaning of Illegal","us_history","published","Yes","2026-03-22","1694","16","immigration, native-americans, columbus, george-washington, illegal, doctrine-of-discovery, trail-of-tears, indian-removal-act, land-theft","The United States Congress debates illegal immigration. Most of its members descend from people who arrived without permission and took land that was not theirs. Some descend from people who were brought here in chains, with no agency and no claim on stolen land. A few descend from the people whose land was taken in the first place. The primary source record on who invented the word illegal is more comprehensive than most of these debates reflect.","National Archives and Records Administration: Historical Document Collections :: National Archives and Records Administration. (n.d.). Historical Federal Document Collections. NARA, Washington, D.C.; Library of Congress: American History Primary Sources :: Library of Congress. (n.d.). American History Primary Source Collections. Washington, D.C.; National Park Service: Historical Research :: National Park Service. (n.d.). Historical Records and Cultural Resources Research. U.S. Department of the Interior.; Smithsonian Institution: National Collections :: Smithsonian Institution. (n.d.). National Museum Collections and Research Archive. Washington, D.C.; Office of the Historian: U.S. State Department Historical Records :: Office of the Historian, U.S. Department of State. (n.d.). Foreign Relations of the United States Series. Washington, D.C."
"CB-000043","Ketanji Brown Jackson Wrote in Her High School Yearbook That She Wanted to Be a Judge. The Federal Record Confirms She Became One. Three Decades of Hard Work Proved It Wasn't DEI.","women_and_girls","published","Yes","2026-03-22","1249","10","historical_figure, supreme_court, civil_rights, court_record, federal_elected, education, contemporary","The American Bar Association interviewed more than 250 attorneys and judges with direct knowledge of her work and rated her unanimously Well Qualified. That is the ABA's highest possible rating. The confirmation hearing transcript is Senate Hearing 117-422. Both documents are public record.","Federal Judicial Center: Judicial Biographical Record :: Federal Judicial Center. (2022). Biographical Directory of Federal Judges: Ketanji Brown Jackson. Federal Judicial Center, Washington, D.C.; S. Hrg. 117-422: KBJ Supreme Court Confirmation Hearing :: U.S. Senate Committee on the Judiciary. (2022). Nomination of Ketanji Brown Jackson to be an Associate Justice of the Supreme Court of the United States (S. Hrg. 117-422). U.S. Government Publishing Office.; ABA Standing Committee: Judicial Evaluation :: American Bar Association Standing Committee on the Federal Judiciary. (2022). Evaluation of Nominee Ketanji Brown Jackson: Well Qualified Rating. American Bar Association, Chicago, Illinois.; Harvard Law School: Academic Credential Record :: Harvard Law School. (1996). Juris Doctor Degree. Harvard Law School, Cambridge, Massachusetts."
"CB-000045","The United States Is Paying $2.8 Billion Per Day in Interest on Its Debt. The Congressional Record Documents Who Voted for Every Dollar of It.","money_and_power","published","Yes","2026-03-22","1061","13","government, fiscal_policy, military_spending, veterans, bipartisan, court_record, contemporary","As of March 17, 2026, the gross national debt of the United States exceeded $39 trillion for the first time in history. The GAO has audited the figure. The CBO has projected its trajectory. The Congressional Record documents every vote that built it. No one who cast those votes was asked to pay for them.","U.S. Treasury: Debt to the Penny Daily Dataset :: U.S. Department of the Treasury, Bureau of the Fiscal Service. (2026). Debt to the Penny Daily Dataset.; GAO: Bureau of the Fiscal Service FY 2025 Federal Debt Audit :: U.S. Government Accountability Office. (2025). Financial Audit: Bureau of the Fiscal Service FY 2025 Schedules of Federal Debt. GAO, Washington, D.C.; Joint Economic Committee: Monthly Debt Update (March 2026) :: U.S. Congress, Joint Economic Committee. (2026, March). Monthly Debt Update. JEC, Washington, D.C.; Congressional Record: Official Proceedings of the U.S. Congress :: U.S. Congress. (1873-present). Congressional Record: Proceedings and Debates of the United States Congress. U.S. Government Publishing Office.; Bipartisan Policy Center: Federal Budget Deficit Tracker :: Bipartisan Policy Center. (2026). Federal Budget Deficit Tracker. Bipartisan Policy Center, Washington, D.C.; CBO: Budget and Economic Outlook 2025-2035 :: Congressional Budget Office. (2025, January). The Budget and Economic Outlook: 2025 to 2035. U.S. Government Publishing Office.; Senate Appropriations Committee: FY 2025 Defense Appropriations Act Summary :: U.S. Senate Committee on Appropriations. (2025). Fiscal Year 2025 Defense Appropriations Act Summary.; Brown University Watson Institute: Costs of War Project :: Watson Institute for International and Public Affairs, Brown University. (2025). Costs of War Project. Providence, Rhode Island.; Dept. of Veterans Affairs: National Veteran Suicide Prevention Annual Report 2025 :: U.S. Department of Veterans Affairs. (2025). National Veteran Suicide Prevention Annual Report.; CBO: Long-Term Budget Outlook 2025-2055 :: Congressional Budget Office. (2025, March). The Long-Term Budget Outlook: 2025 to 2055. U.S. Government Publishing Office.; Peter G. Peterson Foundation: Interest Costs on the National Debt :: Peter G. Peterson Foundation. (2025). Analysis: Interest Costs on the National Debt. Drawing on Congressional Budget Office projections."
"CB-000044","The Gentleman Was a Military Concept. The Lady Was a Legal Architecture. The Primary Source Record Documents What Both Cost American Women, and What They Built Anyway.","women_and_girls","published","No","2026-03-22","1620","17","historical_figure, civil_rights, education, court_record, bill_of_rights, founding_era, civil_rights_era, contemporary","The word chivalry derives from the Old French chevalerie, meaning horse soldiery. The word lady derives from the Old English hlæfdige, meaning the one who kneads bread. Neither word, in its documented origin, has anything to do with honoring women. The history of how they came to mean what we believe they mean is documented. So is the history of what women built while those words were being applied to them.","Online Etymology Dictionary: Historical Word Origins :: Harper, D. (2024). Online Etymology Dictionary: Historical Etymology Reference. Etymology Online.; World History Encyclopedia: Historical Records :: World History Encyclopedia. (2024). Historical Articles and Primary Source Collection. World History Encyclopedia, Ltd.; National Women History Museum: Historical Collections :: National Women History Museum. (2024). Women in History Collections and Research. Vienna, Virginia.; Library of Congress: Historical Archive :: Library of Congress. (n.d.). Historical Primary Source Collections. Washington, D.C.; National Archives: Government Records :: National Archives and Records Administration. (n.d.). Official Government Records. NARA, Washington, D.C.; National Park Service: Historical Documentation :: National Park Service. (n.d.). Historical Records and Research. U.S. Department of the Interior.; New York State Archives: Historical Records :: New York State Archives. (n.d.). Official State Historical Records. Albany, New York."
"CB-000040","We Hold These Truths. What the 2026 Record Is Doing to Them.","us_constitution","published","Yes","2026-03-22","1232","0","constitution, democracy, equal protection, due process, authoritarianism, american values, 2026, 14th amendment, founding documents","Americans are not required to agree with one another. The Constitution does not ask for agreement. It asks for something harder: equal protection of everyone, without exception. The founding documents of the United States are primary sources. The 2025 and 2026 record is a primary source. ClownBinge placed them next to each other. The distance between them is the story. The framework that produced them is worth protecting.","Declaration of Independence (1776) :: Continental Congress. (1776). Declaration of Independence. National Archives, Washington, D.C.; 14th Amendment: Equal Protection Clause (1868) :: U.S. Congress. (1868). Fourteenth Amendment to the United States Constitution. National Archives, Washington, D.C.; Federalist No. 51: Separation of Powers :: Madison, J. (1788). Federalist No. 51: The Structure of the Government Must Furnish the Proper Checks and Balances Between the Different Departments. The Federalist Papers.; Marbury v. Madison (1803) :: U.S. Supreme Court. (1803). Marbury v. Madison, 5 U.S. 137. U.S. Supreme Court Records.; Federal Register: Executive and Regulatory Record :: Office of the Federal Register. (1936-present). Federal Register. U.S. Government Publishing Office."
"CB-000041","The United States Was Built by Indigenous Nations, Enslaved Africans, and Immigrants. The Primary Source Record Confirms Each.","us_history","published","No","2026-03-23","2772","17","","A primary source accounting of what immigrants, enslaved Africans, Indigenous First Nations, and the native peoples of the Southwest built, cultivated, and contributed to America. The record is long because their contributions are long. It is not a matter of debate.","Library of Congress: Immigration History Archive :: Library of Congress. (n.d.). Immigration and Immigrant Communities Primary Source Collections. Washington, D.C.; National Archives: Naturalization and Immigration Records :: National Archives and Records Administration. (n.d.). Naturalization Records and Immigration History. NARA, Washington, D.C.; Smithsonian NMAAHC: African American History Collection :: Smithsonian National Museum of African American History and Culture. (n.d.). Collection and Research Archive. Washington, D.C.; Smithsonian NMAI: Native American Collections :: Smithsonian National Museum of the American Indian. (n.d.). Collection and Research Archive. Washington, D.C.; National Foundation for American Policy: Immigration and Innovation Report (2022) :: National Foundation for American Policy. (2022). Immigrants and Nobel Prizes: 1901-2022. NFAP, Arlington, Virginia.; U.S. Patent and Trademark Office: Immigrant Innovation Data :: U.S. Patent and Trademark Office. (2024). Patent Activity Statistics. U.S. Department of Commerce.; Nobel Prize Committee: 2023 Laureate Awards :: Nobel Prize Outreach AB. (2023). Nobel Prize Laureate Announcements. Official Nobel Prize Archives.; Stanford Chinese Railroad Workers Project: Historical Research :: Chinese Railroad Workers in North America Project, Stanford University. (2024). Research Archive. Stanford, California.; USDA Natural Resources Conservation Service :: U.S. Department of Agriculture, Natural Resources Conservation Service. (n.d.). Conservation Innovation and Agricultural History. Washington, D.C.; White House Historical Association: Presidential Historical Records :: White House Historical Association. (n.d.). Presidential and White House History Collections. Washington, D.C.; Congressional Record: H. Res. 331 :: U.S. Congress. (2022). H. Res. 331. Congressional Record. U.S. Government Publishing Office.; Treaty of Guadalupe Hidalgo (1848) :: U.S. Department of State. (1848). Treaty of Peace, Friendship, Limits, and Settlement Between the United States of America and the Mexican Republic. National Archives.; NIH National Library of Medicine :: National Library of Medicine. (2024). Medical Research Collections and PubMed Database. National Institutes of Health, Bethesda, Maryland."
"CB-000046","The Vanishing Act: How CNN's 2020 Diversity Pledge Disappeared Inside a $40 Billion Debt Load","censorship","published","No","2026-03-23","709","6","CNN, Warner Bros Discovery, media, DEI, EEOC, SEC filings, corporate media, diversity rollback, Mark Thompson","In 2020, CNN president Jeff Zucker called race coverage a permanent, sustained commitment. By July 2024, CNN CEO Mark Thompson had disbanded the team that existed to fulfill it. The SEC filings, federal employment data, and internal memos document exactly how the money made it happen.","WBD SEC Form 10-K (FY2024) :: Warner Bros. Discovery, Inc. (2024). Annual Report on Form 10-K, Fiscal Year 2024. U.S. Securities and Exchange Commission.; EEOC EEO-1 Data Collections :: U.S. Equal Employment Opportunity Commission. (2024). EEO-1 Component 1 Data Collections. Federal employer workforce composition records.; WBD Division Restructuring Memo (July 2024) :: Warner Bros. Discovery, Inc. (2024, July 10). Internal staff memorandum: Division restructuring and workforce reduction. Warner Bros. Discovery, New York.; WBD Q2 2024 Earnings Filing :: Warner Bros. Discovery, Inc. (2024). Form 8-K and Q2 2024 Earnings Report. U.S. Securities and Exchange Commission."
"CB-000047","The Second Amendment Has a Race Problem. The Primary Source Record Documents It.","us_constitution","published","Yes","2026-03-23","855","8","second amendment, Philando Castile, racial disparity, gun rights, constitutional rights, NRA, Stand Your Ground, Black Codes, concealed carry","Philando Castile had a legal firearm, a valid concealed carry permit, and disclosed he was armed before he was shot seven times. The officer was acquitted. The NRA, which exists to defend licensed gun owners, issued a statement five days later. This article does not editorialize. It reads the record.","Hennepin County District Court: State v. Yanez :: Hennepin County District Court, Minnesota. (2016). State of Minnesota v. Jeronimo Yanez. Hennepin County, Minnesota.; Minnesota Dept. of Public Safety: Traffic Stop Data :: Minnesota Department of Public Safety. (2016). Traffic Stop Data Report. Minnesota Department of Public Safety, Saint Paul, Minnesota.; Urban Institute: Stand Your Ground Research (2013) :: Urban Institute. (2013). Stand Your Ground Laws and Racial Disparities. Urban Institute, Washington, D.C.; RAND Corporation: Gun Policy Science :: RAND Corporation. (2023). The Science of Gun Policy: A Critical Synthesis of Research Evidence. RAND Corporation, Santa Monica, California.; Library of Congress: Black Codes Historical Archive :: Library of Congress, Manuscript Division. (1865-1868). Black Codes State Legislative Records. Library of Congress, Washington, D.C."
"CB-000048","The Elimination Program Failed. The Census Confirms It. The First Nations Are Here.","us_history","published","No","2026-03-24","874","9","First Nations, Indigenous Americans, Native American, genocide, Indian Removal Act, Dawes Act, boarding schools, census, McGirt v Oklahoma, us history","The United States government executed a documented, multi-century legal and military campaign designed to eliminate Indigenous peoples from the North American continent. The 2020 Census records 9.7 million people who identify as American Indian or Alaska Native. The record documents both the program and its outcome.","U.S. Census Bureau: Decennial Census (1900, 2020) :: U.S. Census Bureau. (1900, 2020). Decennial Census of Population. U.S. Department of Commerce.; Library of Congress: Native American Primary Source Archive :: Library of Congress. (n.d.). American Indians and the Law. Manuscript Division, Library of Congress, Washington, D.C.; National Native American Boarding School Healing Coalition: Boarding School Records :: National Native American Boarding School Healing Coalition. (2022). Federal Indian Boarding School Initiative. Washington, D.C.; Bureau of Indian Affairs: Federal Records :: U.S. Bureau of Indian Affairs. (n.d.). Official Records. U.S. Department of the Interior, Washington, D.C.; U.S. Supreme Court: Cherokee Nation v. Georgia (1831) :: U.S. Supreme Court. (1831). Cherokee Nation v. Georgia, 30 U.S. 1.; U.S. Supreme Court: Worcester v. Georgia (1832) :: U.S. Supreme Court. (1832). Worcester v. Georgia, 31 U.S. 515."
"CB-000049","What the First Nations Knew First: A Documented Inventory of Knowledge Modern America Is Still Catching Up To","us_history","published","No","2026-03-24","927","7","First Nations, Indigenous knowledge, medicine, ethnobotany, controlled burns, aspirin, Three Sisters, engineering, restorative justice, oral history","This is not a spiritual piece. It is an inventory. Across medicine, agriculture, fire ecology, engineering, and mental health, the primary source record documents a consistent pattern: Indigenous nations held working knowledge of systems that Western science formally verified decades or centuries later. The credit column remains largely empty.","World Health Organization: Traditional Medicine Research :: World Health Organization. (2023). WHO Traditional, Complementary and Integrative Medicine Strategy. WHO, Geneva, Switzerland.; U.S. Forest Service: Indigenous Ecological Knowledge :: U.S. Forest Service. (2023). Indigenous Traditional Ecological Knowledge Program. U.S. Department of Agriculture, Washington, D.C.; Journal of Ethnopharmacology: Peer-Reviewed Research :: Journal of Ethnopharmacology. (Ongoing). Published peer-reviewed research on indigenous medicinal knowledge. Elsevier.; University of Victoria: Indigenous Geological Research :: University of Victoria. (2023). Indigenous Land and Geological Research. Victoria, British Columbia, Canada.; American Journal of Botany: Indigenous Plant Research :: American Journal of Botany. (2023). Published research on traditional plant uses. Botanical Society of America.; National Academy of Sciences: Traditional Knowledge Research :: National Academies of Sciences, Engineering, and Medicine. (2023). Research on Indigenous Scientific Knowledge. National Academies Press, Washington, D.C."
"CB-000050","Give Me Your Tired: The Primary Source Record of Who Made Them Tired in the First Place","global_south","published","Yes","2026-03-24","1069","5","immigration, foreign policy, global south, Guatemala, Honduras, NAFTA, regime change, CIA, Ellis Island, Statue of Liberty, Central America","Emma Lazarus wrote the promise in 1883. The CIA wrote the policy memos in 1954. The IMF wrote the structural adjustment conditions in the 1980s. The State Department co-signed the 2009 coup. The primary source record of American immigration contains all of these documents. The current political debate cites only the first one.","Library of Congress: Immigration History Archive :: Library of Congress. (n.d.). Immigration and Refugee Collections. Washington, D.C.; CIA Declassified Archives: FOIA Records :: Central Intelligence Agency. (1950s-present). Declassified Documents via Freedom of Information Act. CIA CREST Database, Langley, Virginia.; Office of the Historian: Foreign Relations of the United States :: Office of the Historian, U.S. Department of State. (n.d.). Foreign Relations of the United States Series. Washington, D.C.; NAFTA Implementation Records :: Office of the United States Trade Representative. (1994). North American Free Trade Agreement Implementation Records. Washington, D.C.; Congressional Research Service: Immigration Research :: Congressional Research Service. (2024). Research Reports on Immigration and Border Policy. Library of Congress, Washington, D.C.; UN Human Development Reports :: United Nations Development Programme. (2024). Human Development Report. United Nations, New York."
"CB-000051","The Arithmetic of Presence: What the 2020 and 2025 Census Records Actually Document About White America. A ClownBinge Exclusive.","us_history","published","Yes","2026-03-24","1458","7","census, demographics, white america, great replacement, federal reserve, wealth, congress, federal judiciary, population, arithmetic","The claim that White America is being 'replaced' or 'erased' has circulated in political discourse at the highest levels of American media and government. ClownBinge does not characterize the claim. It documents whether the claim is arithmetically sustainable. The Federal Reserve, the U.S. Census Bureau, and the Federal Judicial Center have already answered the question. The ledger is below.","U.S. Census Bureau: Decennial Census and Population Estimates (2020, 2023) :: U.S. Census Bureau. (2020, 2023). Decennial Census and Population Estimates Program. U.S. Department of Commerce, Washington, D.C.; Federal Reserve: Survey of Consumer Finances (2022) :: Board of Governors of the Federal Reserve System. (2022). Survey of Consumer Finances. Federal Reserve Board, Washington, D.C.; Federal Reserve: Distributional Financial Accounts :: Board of Governors of the Federal Reserve System. (2024). Distributional Financial Accounts. Federal Reserve Board, Washington, D.C.; Federal Judicial Center: Judicial Demographics :: Federal Judicial Center. (2024). Federal Judicial Center Biographical Database. Washington, D.C.; Congressional Research Service: Demographic Research :: Congressional Research Service. (2024). Research Reports on Demographic Trends. Library of Congress, Washington, D.C.; Pew Research Center: Demographic Studies :: Pew Research Center. (2024). Demographic Research and Survey Reports. Pew Research Center, Washington, D.C."
"CB-000052","The Clinical Cost of the Label: A Documented Inventory of How 'DEI' as a Variable Produces Measurable Dehumanization","investigations","published","No","2026-03-24","1134","5","DEI, dehumanization, professional identity, neuroscience, cortisol, census, institutional racism, workplace discrimination, cognitive science, credential theft","When an institution replaces 'Subject Matter Expert' with 'DEI Candidate,' it is not making a personnel decision. It is retroactively reclassifying 18,000 hours of documented, credentialed labor as a three-letter administrative placeholder. The Department of Education, the National Institutes of Health, and the U.S. Census Bureau have already documented the cost. This is the ledger.","U.S. Dept. of Education: 34 CFR Part 600 :: U.S. Department of Education. (2024). Institutional Eligibility Under the Higher Education Act, 34 CFR Part 600. U.S. Government Publishing Office.; Eisenberger et al. (2003): Science -- Social Exclusion Study :: Eisenberger, N.I., Lieberman, M.D., and Williams, K.D. (2003). Does Rejection Hurt? An fMRI Study of Social Exclusion. Science, 302(5643), 290-292. PMID: 14551436.; U.S. Census Bureau: American Community Survey :: U.S. Census Bureau. (2023). American Community Survey. U.S. Department of Commerce.; APA: Stress in America Report (2023) :: American Psychological Association. (2023). Stress in America 2023: A Nation Recovering from Collective Trauma. APA, Washington, D.C.; Executive Order 14173 (Jan. 20, 2025) :: Executive Office of the President. (2025, January 20). Executive Order 14173: Ending Illegal Discrimination and Restoring Merit-Based Opportunity. Federal Register, Vol. 90."
"CB-000053","Fake News, Foucault, and Durkheim: Trump's Term Has Prophetic Roots","nerd_out","published","No","2026-03-24","1503","3","fake news, Foucault, Durkheim, Bourdieu, media theory, epistemology, regime of truth, social fact, symbolic violence, journalism, political language, academic analysis, media criticism","Émile Durkheim published The Rules of Sociological Method in 1895. Michel Foucault delivered 'The Order of Discourse' in 1970. Donald Trump used the phrase 'fake news' 2,019 documented times during his first term. This article does not argue that Durkheim and Foucault predicted Trump. It argues that they described the mechanism that makes the phrase work, with precision that 130 years of political history has only confirmed. The Power of Words in Everyday Life.","Foucault: Power/Knowledge (1980) :: Foucault, M. (1980). Power/Knowledge: Selected Interviews and Other Writings, 1972-1977 (C. Gordon, Ed.). Pantheon Books, New York.; Durkheim: The Rules of Sociological Method (1895) :: Durkheim, E. (1895). Les Regles de la methode sociologique [The Rules of Sociological Method]. Felix Alcan, Paris.; Bourdieu: Language and Symbolic Power (1991) :: Bourdieu, P. (1991). Language and Symbolic Power (G. Raymond and M. Adamson, Trans.). Harvard University Press, Cambridge, Massachusetts.; Merriam-Webster: Fake News Etymology :: Merriam-Webster Dictionary. (2024). Entry: Fake news. First known use documented circa 1890. Merriam-Webster, Inc., Springfield, Massachusetts."
