"Case Number","Title","Category","Status","Staff Pick","Published At","Word Count","Citation Count","Tags","Teaser"
"CB-000063","Black Seed Oil: Social Media Found It Last Week. The Global South Has Known for 1,400 Years. Now Science Has Receipts.","health_and_healing","published","No","2026-03-25","2051","0","black seed oil, nigella sativa, thymoquinone, global south, traditional medicine, anti-inflammatory, health and healing, MENA, Islam, clinical research, botanical medicine, diabetes, asthma, immunology, cancer research","Over 800 peer-reviewed studies on PubMed. A hadith in Sahih al-Bukhari documented 1,400 years ago. Ibn Sina described the clinical protocol in 1025 CE. Thymoquinone, the active compound in Nigella sativa, inhibits the same inflammatory pathway targeted by pharmaceutical anti-inflammatory drugs. The Global South did not need a clinical trial to know it worked. But the clinical trials ran anyway. Here is what they found."
"CB-000064","Jericho Has Been Continuously Inhabited Since 9,000 BCE. The Archaeological Record of Palestinian Civilization Is Not Disputed.","global_south","published","No","2026-03-26","1511","0","","The peer-reviewed archaeological record places continuous human civilization in Palestine at 9,000 BCE. Carbon-14 dating, cuneiform tablets, Egyptian stelae, Byzantine mosaics, and Ottoman land registries confirm it. This is what the primary sources say and what they do not say."
"CB-000065","Herodotus Recorded 'Dark-Skinned and Woolly-Haired.' The Primary Source Record of Kemet as Black African Civilization and the Seat of Human Knowledge.","global_south","published","No","2026-03-26","2018","0","","The Greek historian Herodotus traveled to Kemet in the 5th century BCE and recorded what he saw: a dark-skinned, woolly-haired people who had already given the world mathematics, medicine, astronomy, engineering, and the solar calendar. He wrote it in the same text Western academia calls the founding document of the discipline of history. This is what the primary sources say."
"CB-000066","Hijacking Voice: The Documented Legality of Gerrymandering and What the Supreme Court Said Could Not Be Fixed.","us_constitution","published","No","2026-03-26","1861","0","","Chief Justice John Roberts wrote in 2019 that political gerrymandering produces results that are 'unjust by any measure.' He then ruled that federal courts have no authority to fix it. The Fourteenth and Fifteenth Amendments exist. The Voting Rights Act exists. This is the primary source record of how minority political voice is legally diminished and what the courts said about it."
"CB-000068","The Treasure Reveals the Heart: ClownBinge's Four-Year Analysis of Congressional Appropriation Funding","war_and_inhumanity","published","No","2026-03-26","1998","0","congress, foreign aid, appropriations, ukraine, palestine, yemen, syria, sudan, humanitarian, geopolitics","Congressional appropriations data reveals the documented allocation decisions across multiple conflict zones from FY 2021–2024."
"CB-000070","White Women Were the Primary Beneficiaries of Affirmative Action. Not Black People. The Federal Record Confirms It.","disarming_hate","published","No","2026-03-27","1711","0","affirmative-action, white-women, eeoc, ofccp, glass-ceiling, federal-record, employment-data, labor-data, us-history, civil-rights, executive-order, glass-ceiling-commission","The Department of Labor documented it. The Glass Ceiling Commission documented it. Peer-reviewed economics documented it. The EEOC data confirms it. The group that gained most from affirmative action was the group most absent from the political argument about it."
"CB-000071","The America They Don't Teach in the Same Chapter: A Documented Record of Americans Who Chose Each Other Across Racial Lines When It Cost Something.","disarming_hate","published","Yes","2026-03-27","1731","0","cross-racial-solidarity, fred-hampton, rainbow-coalition, viola-liuzzo, thomas-garrett, levi-coffin, tuskegee-airmen, scottsboro-boys, ruby-bates, underground-railroad, stuart-hall, american-history, civil-rights, interracial-solidarity","Fred Hampton organized poor white Appalachians and the Black Panthers into the same coalition. Viola Liuzzo drove to Alabama. Thomas Garrett lost everything in a Delaware courthouse and kept going. Ruby Bates recanted in front of an all-white Alabama jury. The Tuskegee Airmen protected white crews who specifically asked for them. The primary source record of Americans choosing each other across racial lines has always been public. Stuart Hall said it was the most important part of the story. He was right."
"CB-000072","Spirituality, It Turns Out, Is Extremely Good for the Human Psyche. Harvard, Johns Hopkins, and Duke Have the Data.","health_and_healing","published","Yes","2026-03-27","1989","8","spirituality, mental-health, neuroscience, harvard, johns-hopkins, blue-zones, mindfulness, psilocybin, meaning, health-outcomes, longitudinal-study, meditation, contemplative-practice","Harvard tracked 74,534 women for sixteen years. Johns Hopkins gave terminally ill patients a controlled mystical experience and measured the outcome. Duke University measured interleukin-6 levels in prayer practitioners. The peer-reviewed record on spirituality and human health is more rigorous — and more compelling — than most people have been told."
"CB-000073","A Jury of Your Peers. America's Most Durable Constitutional Lie.","law_and_justice","published","No","2026-03-27","1752","11","equal-protection, jury-selection, sixth-amendment, fourteenth-amendment, batson, strauder, supreme-court, racial-justice, peremptory-challenges, emmett-till, law-and-justice, constitutional-law","The Sixth Amendment guarantees the right to a jury of one's peers. The Fourteenth Amendment guarantees equal protection under the law. The Supreme Court has ruled jury discrimination unconstitutional in 1880, 1965, 1986, and beyond. The documented record of what happened after each ruling is the article."
"CB-000074","A Country Built on Stolen Land, Stolen Labor, and Stolen Lives Would Like You to Know It Built Itself.","us_history","published","No","2026-03-27","1737","8","wealth-gap, slavery, edward-baptist, american-capitalism, redlining, gi-bill, homestead-act, indigenous-land, economic-history, who-built-america, freedmens-bureau, survey-of-consumer-finances, racial-wealth-gap","The argument that Black, Indigenous, and Mexican people are lazy was invented by the same civilization that crossed an ocean to kidnap African people because it refused to do its own work. Edward Baptist documented what that labor actually produced. The Federal Reserve has the current numbers. The gap between those two data points is not an accident. It is a policy outcome."
"CB-000075","Racism Is Never OK: The Difficult Conversations We Must All Have With Our Families. Accountability Matters.","disarming_hate","published","No","2026-03-27","1721","9","family-accountability, racism, disarming-hate, calling-in, racial-socialization, intergroup-contact, cross-community, allyship, loretta-ross, beverly-tatum, healing, difficult-conversations","The hardest conversation you will ever have is the one at your own dinner table. The research shows it is also among the most important ones you will ever have. Across every racial community in America, people are finding the courage to hold the people they love accountable for the harm they cause. This is what that looks like, and why it matters more than most of us have been told."
"CB-000076","The Countries America Bombs Are Overwhelmingly Non-White. Their Resources Are Almost Always the Point. The Evidence Is in the Record.","us_history","published","Yes","2026-03-27","2250","9","imperialism, iraq-war, iran, libya, gaddafi, petrodollar, resource-wars, cia-coups, operation-ajax, mossadegh, downing-street-memo, race-and-empire, us-foreign-policy, neocolonialism","Iraq had the world's second-largest proven oil reserves. Libya had the largest in Africa and was building a gold-backed currency to break Western financial control of the continent. Iran nationalized its oil in 1953 and had a functioning democracy until the CIA ended it. The pattern across every American war of choice is not a theory. It is a documented fact that the declassified record confirms."
"CB-000077","Do Unto Others: The Case for No More Economic Wars. Our Children's Children Will Hate Us for Them.","us_history","published","Yes","2026-03-27","1670","9","economic-wars, global-south, intergenerational-justice, blowback, costs-of-war, iraq, libya, iran, petrodollar, military-spending, do-unto-others, follow-the-money","America spends $8 trillion bombing the majority of humanity and then wonders why the world does not trust it. The Global South is not a foreign policy abstraction. It is six billion people who are keeping receipts. Their children are growing up. Ours will pay the bill. This is the intergenerational math of economic warfare, and it does not resolve in America's favor."
