Case Number,Title,Slug,Category,Teaser,Status,Published Date,Staff Pick,Pinned,Views,Source URL,Verified Source,Subject Name,Subject Title,Subject Party,Date of Incident
CB-000350,The Dawes Act of 1887: How Allotment Stripped 90 Million Acres from Indigenous Nations in 50 Years,dawes-act-1887-allotment-indigenous-land-loss-90-million-acres,native_and_first_nations,"The Dawes Severalty Act of 1887 authorized the federal government to divide communally held tribal lands into individual allotments — 160 acres per family head — with 'surplus' land sold to settlers. In 50 years, Indigenous nations lost 90 million acres — approximately two-thirds of their remaining land base — through the allotment process.",published,2026-04-04,f,f,0,,"Dawes Act (1887) :: General Allotment Act (Dawes Act). Pub.L. 49-105, 24 Stat. 388 (Feb. 8, 1887).; Otis: The Dawes Act and the Allotment of Indian Land (1973) :: Otis, Delos S. (1973). The Dawes Act and the Allotment of Indian Land. University of Oklahoma Press.; McDonnell: The Dispossession of the American Indian (1991) :: McDonnell, Janet A. (1991). The Dispossession of the American Indian, 1887-1934. Indiana University Press.; Debo: And Still the Waters Run (1940) :: Debo, Angie (1940). And Still the Waters Run. Princeton University Press.; Wilkins and Lomawaima: Uneven Ground (2001) :: Wilkins, David E. & Lomawaima, K. Tsianina (2001). Uneven Ground. University of Oklahoma Press.",,,,
CB-000351,The American Indian Boarding Schools: The Government-Funded System That Explicitly Aimed to Destroy Indigenous Identity,american-indian-boarding-schools-carlisle-pratt-cultural-genocide,native_and_first_nations,"Between 1879 and the 1970s, approximately 367 federally funded boarding schools operated in 37 states to forcibly remove Indigenous children from their families and communities. The stated mission, in the words of founder Richard Henry Pratt, was to 'kill the Indian in him, and save the man.' The US Department of the Interior investigated 408 schools in 2022 and confirmed the widespread abuse and death of children.",published,2026-04-04,f,f,0,,"Pratt: The Advantages of Mingling Indians with Whites (1892) :: Pratt, Richard Henry (1892). In Proceedings of the National Conference of Charities and Correction. Press of George H. Ellis.; DOI Federal Indian Boarding School Initiative (2022) :: US Department of the Interior (2022). Federal Indian Boarding School Initiative Investigative Report. DOI., May 2022.; Adams: Education for Extinction (1995) :: Adams, David Wallace (1995). Education for Extinction: American Indians and the Boarding School Experience. University Press of Kansas.; Lomawaima: They Called It Prairie Light (1994) :: Lomawaima, K. Tsianina (1994). They Called It Prairie Light. University of Nebraska Press.; Child: Boarding School Seasons (1998) :: Child, Brenda J. (1998). Boarding School Seasons. University of Nebraska Press.",,,,
CB-000352,Native Sovereignty: What Tribal Nations Actually Are Under US Federal Law — and What That Means for Jurisdiction,native-american-tribal-sovereignty-federal-law-jurisdiction-reserved-rights,native_and_first_nations,"The nearly 600 federally recognized tribal nations in the United States occupy a unique constitutional status: they are sovereign nations with inherent governmental powers, not created by the US government but recognized by it. They predate the Constitution. Their sovereignty is limited by federal law but not extinguished by it — a legal status with significant consequences for taxation, criminal jurisdiction, and self-governance.",published,2026-04-04,f,f,0,,"Wilkins and Lomawaima: Uneven Ground (2001) :: Wilkins, David E. & Lomawaima, K. Tsianina (2001). Uneven Ground: American Indian Sovereignty and Federal Law. University of Oklahoma Press.; Deloria and Lytle: American Indians, American Justice (1983) :: Deloria, Vine Jr. & Lytle, Clifford M. (1983). American Indians, American Justice. University of Texas Press.; Cohen: Handbook of Federal Indian Law (1942/2012) :: Cohen, Felix S. (1942/2012). Felix Cohen's Handbook of Federal Indian Law. LexisNexis.; Canby: American Indian Law (2020) :: Canby, William C. Jr. (2020). American Indian Law in a Nutshell (7th ed.). West Academic.; BIA: Tribal Nations and the United States (2020) :: Bureau of Indian Affairs (2020). Tribal Nations and the United States: An Introduction. BIA.; McGirt v. Oklahoma (2020) :: McGirt v. Oklahoma, 591 U.S. ___ (2020).",,,,
CB-000353,The Indian Self-Determination Act of 1975: The Shift From Federal Control to Tribal Governance,indian-self-determination-act-1975-tribal-governance-federal-policy,native_and_first_nations,The Indian Self-Determination and Education Assistance Act of 1975 authorized tribal nations to contract with federal agencies to administer programs on their own reservations — reversing decades of federal control over reservation governance. The policy shift followed the American Indian Movement's occupation of Wounded Knee in 1973 and represented the largest formal expansion of tribal self-governance in the 20th century.,published,2026-04-04,f,f,0,,"Indian Self-Determination and Education Assistance Act (1975) :: Pub.L. 93-638, 25 U.S.C. § 5301 et seq. (Jan. 4, 1975).; Deloria and Lytle: The Nations Within (1984) :: Deloria, Vine Jr. & Lytle, Clifford M. (1984). The Nations Within. Pantheon.; Wilkinson: Blood Struggle (2005) :: Wilkinson, Charles (2005). Blood Struggle: The Rise of Modern Indian Nations. W.W. Norton.; Cornell and Kalt: What Can Tribes Do? (1992) :: Cornell, Stephen & Kalt, Joseph P. (eds.) (1992). What Can Tribes Do? American Indian Studies Center.; Pommersheim: Broken Landscape (2009) :: Pommersheim, Frank (2009). Broken Landscape. Oxford University Press.; AIM: Wounded Knee 1973 :: American Indian Movement (1973). Wounded Knee Statement. Rapid City, SD.",,,,
CB-000354,Red Cloud's War: The Only War the US Army Lost and Then Abandoned the Territory,red-cloud-war-powder-river-1866-1868-us-army-defeat-lakota,native_and_first_nations,"Red Cloud's War (1866–1868) is the only conflict in US history in which the government sued for peace, abandoned its military installations, and signed a treaty giving the opposing party what it had demanded. The Lakota, Cheyenne, and Arapaho forces led by Red Cloud closed the Bozeman Trail and burned the US Army's forts. The Fort Laramie Treaty of 1868 acknowledged their victory.",published,2026-04-04,f,f,0,,"Larson: Red Cloud (1997) :: Larson, Robert W. (1997). Red Cloud: Warrior-Statesman of the Lakota Sioux. University of Oklahoma Press.; Utley: Frontier Regulars (1973) :: Utley, Robert M. (1973). Frontier Regulars: The United States Army and the Indian, 1866-1891. Macmillan.; Tate: The Fetterman Fight (1996) :: Tate, Michael L. (1996). The Lakota Sioux and the United States Government, 1863-1891. University of Oklahoma Press.; Gray: Custer's Last Campaign (1991) :: Gray, John S. (1991). Custer's Last Campaign. University of Nebraska Press.; Treaty of Fort Laramie (1868) :: Treaty of Fort Laramie (1868). 15 Stat. 635.",,,,
CB-000355,The Termination Era: When Congress Voted to End Tribal Nations — and What Happened,termination-era-federal-indian-policy-menominee-klamath-1953,native_and_first_nations,"House Concurrent Resolution 108 (1953) declared it the policy of the US Congress to terminate the special relationship between the federal government and tribal nations — ending federal recognition, services, and trust land protections for over 100 tribal communities. The Menominee of Wisconsin lost federal recognition in 1954. They fought for 19 years and regained it in 1973.",published,2026-04-04,f,f,0,,"Fixico: Termination and Relocation (1986) :: Fixico, Donald L. (1986). Termination and Relocation: Federal Indian Policy, 1945-1960. University of New Mexico Press.; HCR 108 (1953) :: H. Con. Res. 108, 83rd Congress (1953). Congressional Record.; Peroff: Menominee Drums (1982) :: Peroff, Nicholas C. (1982). Menominee Drums: Tribal Termination and Restoration. University of Oklahoma Press.; Wilkinson and Biggs: Evolution of the Termination Policy (1977) :: Wilkinson, Charles F. & Biggs, Eric R. (1977). American Indian Law Review, 5(1), 139-184.; Wilkinson: Blood Struggle (2005) :: Wilkinson, Charles (2005). Blood Struggle. W.W. Norton.; Menominee Restoration Act (1973) :: Pub.L. 93-197 (Dec. 22, 1973).",,,,
CB-000356,"The American Indian Movement: What AIM Was, What It Did, and What the FBI Did in Response",american-indian-movement-aim-wounded-knee-1973-cointelpro,native_and_first_nations,"The American Indian Movement, founded in Minneapolis in 1968, addressed police brutality against urban Indigenous people before expanding to treaty rights, reservation conditions, and federal accountability. The FBI's COINTELPRO operations against AIM — including surveillance, infiltration, and documented collaboration in the prosecution of Leonard Peltier — constitute one of the most documented cases of federal political repression in the modern era.",published,2026-04-04,f,f,0,,"Smith and Warrior: Like a Hurricane (1996) :: Smith, Paul Chaat & Warrior, Robert Allen (1996). Like a Hurricane: The Indian Movement from Alcatraz to Wounded Knee. New Press.; Churchill and Vander Wall: The COINTELPRO Papers (1990) :: Churchill, Ward & Vander Wall, Jim (1990). The COINTELPRO Papers. South End Press.; Matthiessen: In the Spirit of Crazy Horse (1983) :: Matthiessen, Peter (1983). In the Spirit of Crazy Horse. Viking.; Johansen and Maestas: Wasi'chu (1979) :: Johansen, Bruce E. & Maestas, Roberto (1979). Wasi'chu. Monthly Review Press.; FBI COINTELPRO Documents (1968-1971) :: Federal Bureau of Investigation (1968-1971). COINTELPRO — Native American Movement. Declassified FOIA documents.",,,,
CB-000357,The Indian Child Welfare Act of 1978: Why Congress Had to Pass a Law Against Child Removal,indian-child-welfare-act-1978-icwa-native-child-removal-foster-care,native_and_first_nations,"By the 1970s, between 25% and 35% of all Native American children were being separated from their families and placed in non-Native foster homes, adoptive homes, or institutions — a rate vastly disproportionate to comparable poverty-level non-Native populations. Congress passed the Indian Child Welfare Act in 1978 to establish minimum procedural protections. It has been under legal challenge since.",published,2026-04-04,f,f,0,,"Indian Child Welfare Act (1978) :: Pub.L. 95-608, 25 U.S.C. § 1901 et seq. (Nov. 8, 1978).; Unger: The Destruction of American Indian Families (1977) :: Unger, Steven (ed.) (1977). The Destruction of American Indian Families. Association on American Indian Affairs.; Fanshel: Far From the Reservation (1972) :: Fanshel, David (1972). Far from the Reservation. Scarecrow Press.; Hagen: American Indians and Child Welfare (1994) :: Hagen, Jan L. (1994). Families in Society, 75(1), 13-22.; Haaland v. Brackeen (2023) :: Haaland v. Brackeen, 599 U.S. 255 (2023).; Jacobs: A Generation Removed (2014) :: Jacobs, Margaret D. (2014). A Generation Removed. University of Nebraska Press.",,,,
CB-000358,"The Standing Rock Protests and the Dakota Access Pipeline: What Happened, What the Law Said, and What Was Done Anyway",standing-rock-dakota-access-pipeline-sioux-nation-protests-2016,native_and_first_nations,"In 2016, the Standing Rock Sioux Tribe and Indigenous supporters from across North America gathered to oppose the Dakota Access Pipeline's route through treaty territory and across the Missouri River upstream of the Standing Rock reservation. Federal courts found procedural violations in the permitting process. The pipeline was built anyway. The courts have not ordered it removed.",published,2026-04-04,f,f,0,,"Estes: Our History Is the Future (2019) :: Estes, Nick (2019). Our History Is the Future. Verso.; Dunbar-Ortiz and Gilio-Whitaker: All the Real Indians Died Off (2016) :: Dunbar-Ortiz, Roxanne & Gilio-Whitaker, Dina (2016). All the Real Indians Died Off. Beacon Press.; Standing Rock Sioux v. US Army Corps (D.C. Cir. 2017) :: Standing Rock Sioux Tribe v. U.S. Army Corps of Engineers, 985 F.3d 1032 (D.C. Cir. 2021).; Archambault: Taking a Stand at Standing Rock (2016) :: Archambault, David (2016). New York Times, Aug. 24, 2016.; EPA: Dakota Access Pipeline Environmental Assessment (2016) :: US EPA (2016). Comment Letter on DAPL EA. Aug. 2016.",,,,
CB-000359,Ethnobotany's Debt: How Indigenous Plant Knowledge Underlies Modern Medicine,indigenous-plant-knowledge-ethnobotany-modern-medicine-pharmacology,native_and_first_nations,An estimated 25% of all prescription drugs on the US market are derived from or modeled on plant compounds first identified in Indigenous medical traditions. The economic value of this knowledge — transferred to pharmaceutical companies without compensation to source communities — is estimated in the hundreds of billions of dollars.,published,2026-04-04,f,f,0,,"Moerman: Native American Ethnobotany (1998) :: Moerman, Daniel E. (1998). Native American Ethnobotany. Timber Press.; Balick and Cox: Plants, People, and Culture (1996) :: Balick, Michael J. & Cox, Paul Alan (1996). Plants, People, and Culture. Scientific American Library.; Plotkin: Tales of a Shaman's Apprentice (1993) :: Plotkin, Mark J. (1993). Tales of a Shaman's Apprentice. Viking.; Schultes and Hofmann: Plants of the Gods (1979) :: Schultes, Richard Evans & Hofmann, Albert (1979). Plants of the Gods. McGraw-Hill.; WHO: Traditional Medicine Strategy (2019) :: World Health Organization (2019). WHO Traditional Medicine Strategy 2019-2023. WHO Press.; Farnsworth et al: Medicinal Plants in Therapy (1985) :: Farnsworth, Norman R. et al. (1985). Bulletin of the World Health Organization, 63(6), 965-981.",,,,
CB-000360,Indigenous Astronomy: How Native American Cultures Mapped the Night Sky With Precision That Modern Science Verifies,indigenous-astronomy-native-american-star-knowledge-ethnoastronomy,native_and_first_nations,"Indigenous North American cultures developed detailed astronomical knowledge — star calendars, tracking of planetary cycles, alignment of ceremonial structures to celestial events — that modern ethnoastronomers have verified through telescope confirmation. The knowledge was transmitted orally across generations, embedded in ceremonial practice, and is still used by contemporary Indigenous communities.",published,2026-04-04,f,f,0,,"Aveni: Skywatchers of Ancient Mexico (1980) :: Aveni, Anthony F. (1980). Skywatchers of Ancient Mexico. University of Texas Press.; Chamberlain: When Stars Came Down to Earth (1982) :: Chamberlain, Von Del (1982). When Stars Came Down to Earth: Cosmology of the Skidi Pawnee Indians. Ballena Press.; McCluskey: Astronomies and Cultures in Early Medieval Europe (1998) :: McCluskey, Stephen C. (1998). Astronomies and Cultures in Early Medieval Europe. Cambridge University Press.; Williamson: Living the Sky (1984) :: Williamson, Ray A. (1984). Living the Sky: The Cosmos of the American Indian. Houghton Mifflin.; Krupp: Echoes of the Ancient Skies (1983) :: Krupp, Edwin C. (1983). Echoes of the Ancient Skies. Harper & Row.; Molyneaux: The Sacred Earth (1995) :: Molyneaux, Brian Leigh (1995). The Sacred Earth. Little, Brown.",,,,
CB-000361,"Three Sisters Agriculture: The Nitrogen-Fixing Polyculture System That Fed Eastern North America for 2,000 Years",three-sisters-agriculture-corn-beans-squash-iroquois-nitrogen-fixing,native_and_first_nations,"The Three Sisters planting system — corn, beans, and squash grown together in mounds — is one of the most sophisticated polyculture systems ever developed. Corn provides a climbing structure for beans; beans fix atmospheric nitrogen, fertilizing the corn and squash; squash leaves shade the ground to retain moisture and suppress weeds. The system required no synthetic fertilizers and maintained soil productivity for centuries.",published,2026-04-04,f,f,0,,"Waugh: Iroquois Foods and Food Preparation (1916) :: Waugh, F.W. (1916). Iroquois Foods and Food Preparation. Memoir 86, Canadian Geological Survey.; Landon: The Introduction of Maize into Eastern North America (2008) :: Landon, Amanda J. (2008). Nebraska Anthropologist, 23, 23-30.; Flannery: The Origins of the Village as a Settlement Type (1972) :: Flannery, Kent V. (1972). In Ucko et al. (eds.), Man, Settlement and Urbanism. Duckworth.; Mann: 1491 (2005) :: Mann, Charles C. (2005). 1491. Knopf.; Burch: Agriculture and Iroquois Culture (1981) :: Burch, Sharon J. (1981). In Tooker (ed.), Iroquois Culture, History, and Prehistory. NYSM.; Nabhan: Enduring Seeds (1989) :: Nabhan, Gary Paul (1989). Enduring Seeds. North Point Press.",,,,
CB-000362,Willow Bark to Aspirin: How Indigenous Pain Relief Became the World's Most Common Drug,willow-bark-aspirin-indigenous-medicine-salicin-pharmacology-history,native_and_first_nations,"Indigenous peoples across North America, Europe, and Asia used willow bark as a pain reliever for documented millennia before Western pharmacology isolated its active compound (salicin) in 1828 and synthesized aspirin from it in 1897. The traditional knowledge was accurate, effective, and centuries ahead of the scientific explanation.",published,2026-04-04,f,f,0,,"Stone: An Account of the Success of the Bark of the Willow (1763) :: Stone, Edward (1763). Philosophical Transactions of the Royal Society, 53, 195-200.; Leroux: Isolation of Salicin (1829) :: Leroux, Henri (1829). Journal de Chimie Medicale, 5, 340-342.; Vane: Inhibition of Prostaglandin Synthesis (1971) :: Vane, John R. (1971). Nature New Biology, 231(25), 232-235.; Moerman: Native American Ethnobotany (1998) :: Moerman, Daniel E. (1998). Native American Ethnobotany. Timber Press.; Mann and Plummer: The Aspirin Wars (1991) :: Mann, Charles C. & Plummer, Mark L. (1991). The Aspirin Wars. Knopf.; Drayer: The Early History of Salicylate Research (1969) :: Drayer, Dennis (1969). Clinical Pharmacokinetics, 2(1), 1-8.",,,,
CB-000363,The Haudenosaunee Public Health System: Governance Structures That Managed Disease Across Multiple Nations,haudenosaunee-public-health-governance-disease-management-quarantine,native_and_first_nations,"The Haudenosaunee Confederacy maintained public health governance structures — including quarantine protocols, food safety standards embedded in longhouse governance, and inter-community health coordination — that managed disease across a multi-nation territory. These systems are documented in the earliest European contact literature and in contemporary Indigenous health research.",published,2026-04-04,f,f,0,,"Fenton: The Great Law and the Longhouse (1998) :: Fenton, William N. (1998). The Great Law and the Longhouse. University of Oklahoma Press.; Richter: The Ordeal of the Longhouse (1992) :: Richter, Daniel K. (1992). The Ordeal of the Longhouse. University of North Carolina Press.; Snow: The Iroquois (1994) :: Snow, Dean R. (1994). The Iroquois. Blackwell.; Tooker: The Iroquois Ceremonial of Midwinter (1970) :: Tooker, Elisabeth (1970). The Iroquois Ceremonial of Midwinter. Syracuse University Press.; Mann: Iroquoian Women (2000) :: Mann, Barbara Alice (2000). Iroquoian Women: The Gantowisas. Peter Lang.",,,,
CB-000364,Permaculture Before the Word Existed: Indigenous Land Management Systems That Modern Ecology Is Rediscovering,indigenous-permaculture-land-management-ecology-food-forests-native-america,native_and_first_nations,"Permaculture — the design philosophy of working with rather than against natural systems to produce food and fiber — is often dated to Bill Mollison and David Holmgren's 1978 book. The core principles were practiced by Indigenous peoples across the Americas for millennia: food forests, controlled burns, selective harvesting, and managed succession.",published,2026-04-04,f,f,0,,"Kimmerer: Braiding Sweetgrass (2013) :: Kimmerer, Robin Wall (2013). Braiding Sweetgrass. Milkweed Editions.; Pyne: Fire in America (1982) :: Pyne, Stephen J. (1982). Fire in America. Princeton University Press.; Deur and Turner: Keeping It Living (2005) :: Deur, Douglas & Turner, Nancy J. (eds.) (2005). Keeping It Living: Traditions of Plant Use and Cultivation on the Northwest Coast. University of Washington Press.; Anderson: Tending the Wild (2005) :: Anderson, M. Kat (2005). Tending the Wild: Native American Knowledge and the Management of California's Natural Resources. University of California Press.; Blackburn and Anderson: Before the Wilderness (1993) :: Blackburn, Thomas C. & Anderson, Kat (eds.) (1993). Before the Wilderness. Ballena Press.",,,,
CB-000365,The Corn's Story: How Indigenous Breeding Transformed Teosinte Into the World's Most Produced Grain,corn-maize-indigenous-breeding-teosinte-mesoamerica-genetic-transformation,native_and_first_nations,"Modern maize (corn) is so different from its wild ancestor, teosinte, that 20th-century botanists initially doubted they were related. The transformation — from a grass with a few seeds on a small spike to a crop with hundreds of seeds on a large cob — was accomplished by Indigenous plant breeders in Mesoamerica over approximately 9,000 years. Modern corn produces 1.1 billion metric tons per year.",published,2026-04-04,f,f,0,,"Doebley: The Genetics of Maize Evolution (2004) :: Doebley, John (2004). Annual Review of Genetics, 38, 37-59.; Matsuoka et al: A Single Domestication for Maize (2002) :: Matsuoka, Yoshihiro et al. (2002). PNAS, 99(9), 6080-6084.; Beadle: The Mystery of Maize (1980) :: Beadle, George W. (1980). Field Museum of Natural History Bulletin, 51, 2-11.; Benz: Archaeological Evidence of Teosinte Domestication (2001) :: Benz, Bruce F. (2001). PNAS, 98(4), 2104-2106.; Smalley and Blake: Sweet Beginnings (2003) :: Smalley, John & Blake, Michael (2003). Current Anthropology, 44(5), 675-703.; FAOSTAT (2022) :: Food and Agriculture Organization (2022). FAOSTAT Crop Production Data.",,,,
CB-000366,The Pacific Navigation System: How Polynesian Voyagers Crossed the Pacific Without Instruments,polynesian-navigation-pacific-voyaging-wayfinding-star-paths-caroline-islands,native_and_first_nations,"Polynesian navigators settled Hawaii, New Zealand, Rapa Nui, and virtually every habitable island across 10 million square miles of the Pacific Ocean — the largest migration in human prehistory — using navigation techniques based on stars, waves, wind, currents, clouds, birds, and phosphorescence. The system was preserved in oral tradition and is still practiced by master navigators in the Caroline Islands.",published,2026-04-04,f,f,0,,"Lewis: We, the Navigators (1972) :: Lewis, David (1972). We, the Navigators. University of Hawaii Press.; Gladwin: East Is a Big Bird (1970) :: Gladwin, Thomas (1970). East Is a Big Bird. Harvard University Press.; Finney: Voyage of Rediscovery (1994) :: Finney, Ben (1994). Voyage of Rediscovery. University of California Press.; Irwin: The Prehistoric Exploration and Colonisation of the Pacific (1992) :: Irwin, Geoffrey (1992). The Prehistoric Exploration and Colonisation of the Pacific. Cambridge University Press.; Kyselka: An Ocean in Mind (1987) :: Kyselka, Will (1987). An Ocean in Mind. University of Hawaii Press.",,,,
CB-000367,Arctic Pharmacology: The Inuit Medicine System That Managed Nutrition in the World's Most Extreme Diet,inuit-medicine-arctic-diet-pharmacology-vitamin-c-scurvy-traditional-knowledge,native_and_first_nations,"The traditional Inuit diet — primarily meat and fat with minimal plant food — appears to violate basic nutritional science, yet Inuit populations maintained health on it for 5,000 years. The explanation involves specific food preparation practices that preserve nutrients destroyed by cooking, and animal-source nutrients that substitute for plant-derived vitamins. European explorers who rejected the diet died of scurvy. Inuit populations eating the same diet did not.",published,2026-04-04,f,f,0,,"Fediuk et al: Vitamin C in Inuit Foods (2002) :: Fediuk, Karen et al. (2002). Journal of Nutrition, 132(4), 833-840.; Sinclair: The Diet of Canadian Indians and Eskimos (1953) :: Sinclair, Hugh M. (1953). Proceedings of the Nutrition Society, 12(1), 69-82.; Kuhnlein and Receveur: Dietary Change and Traditional Food Systems (1996) :: Kuhnlein, Harriet V. & Receveur, Olivier (1996). Annual Review of Nutrition, 16, 417-442.; Bjerregaard et al: Indigenous Health in the Arctic (2004) :: Bjerregaard, Peter et al. (2004). Scandinavian Journal of Public Health, 32(S63), 7-105.; Stefansson: Food of the Ancient and Modern Stone Age Man (1936) :: Stefansson, Vilhjalmur (1936). Journal of the American Dietetic Association, 11, 102-129.",,,,
CB-000368,"Indigenous Water Management in the Arid Southwest: How the Tohono O'odham Farmed the Desert for 2,000 Years",tohono-oodham-water-management-desert-farming-akimel-southwest-traditional,native_and_first_nations,"The Tohono O'odham and Akimel O'odham peoples of the Sonoran Desert developed and maintained a desert water harvesting system — flash flood irrigation, water spreading fields, and ak-chin farming — that produced reliable harvests in an environment receiving less than 12 inches of rain per year. Modern water engineers study the system as a model for dryland agriculture.",published,2026-04-04,f,f,0,,"Nabhan: Gathering the Desert (1985) :: Nabhan, Gary Paul (1985). Gathering the Desert. University of Arizona Press.; Sheridan and Nabhan: Desert Dwellers (1978) :: Sheridan, Thomas E. & Nabhan, Gary Paul (1978). Arizona Highways.; Rea: At the Desert's Green Edge (1983) :: Rea, Amadeo M. (1983). At the Desert's Green Edge: An Ethnobotany of the Gila River Pima. University of Arizona Press.; Underhill: Papago Indian Religion (1946) :: Underhill, Ruth M. (1946). Papago Indian Religion. Columbia University Press.; Nabhan: Enduring Seeds (1989) :: Nabhan, Gary Paul (1989). Enduring Seeds. North Point Press.; Castetter and Bell: Pima and Papago Indian Agriculture (1942) :: Castetter, Edward F. & Bell, Willis H. (1942). University of New Mexico Press.",,,,
CB-000369,The California Mission System: A Documented Genocide Against a Million People That Textbooks Call 'Conversion',california-mission-system-genocide-native-american-indigenous-1769-1833,native_and_first_nations,"Between 1769 and 1833, the Spanish mission system operated in California reduced the Indigenous population from approximately 300,000 to 100,000 — a 66% decline in 64 years. The missions enforced labor through physical violence, prevented tribal members from leaving, destroyed traditional food systems, and spread epidemic disease in enclosed populations. In 2020, Pope Francis canonized Junipero Serra, who founded the system.",published,2026-04-04,f,f,0,,"Cook: The Aboriginal Population of California (1976) :: Cook, Sherburne F. (1976). The Conflict Between the California Indian and White Civilization. University of California Press.; Hackel: Children of Coyote (2005) :: Hackel, Steven W. (2005). Children of Coyote, Missionaries of Saint Francis. University of North Carolina Press.; Sandos: Converting California (2004) :: Sandos, James A. (2004). Converting California: Indians and Franciscans in the Missions. Yale University Press.; Gendar: Powerful Images (1995) :: Gendar, Jeannine (ed.) (1995). California's Mission Period. News from Native California.; Milliken: A Time of Little Choice (1995) :: Milliken, Randall (1995). A Time of Little Choice: The Disintegration of Tribal Culture in the San Francisco Bay Area, 1769-1810. Ballena Press.; Guest: An Examination of the Thesis of S.F. Cook (1979) :: Guest, Francis F. (1979). Southern California Quarterly, 61(1), 1-77.",,,,
CB-000370,The Osage Reign of Terror: The Documented Murder Campaign Against the Wealthiest People in the World,osage-reign-of-terror-murders-oil-headrights-fbi-1920s-killers-of-the-flower-moon,native_and_first_nations,"In the 1920s, the Osage Nation of Oklahoma became the wealthiest people per capita in the world when oil was discovered on their land. Within years, Osage people were dying in a systematic murder campaign orchestrated by white men seeking their oil headrights. The FBI's investigation, its first major case, resulted in convictions. The full scope of the killing — estimated at dozens to hundreds of victims — has never been fully prosecuted.",published,2026-04-04,f,f,0,,"Grann: Killers of the Flower Moon (2017) :: Grann, David (2017). Killers of the Flower Moon: The Osage Murders and the Birth of the FBI. Doubleday.; Mathews: Talking to the Moon (1945) :: Mathews, John Joseph (1945). Talking to the Moon. University of Chicago Press.; Rollings: The Osage (1992) :: Rollings, Willard H. (1992). The Osage: An Ethnohistorical Study of Hegemony on the Prairie-Plains. University of Missouri Press.; McAuliffe: Bloodland (1994) :: McAuliffe, Dennis Jr. (1994). Bloodland: A Family Story of Oil, Greed, and Murder on the Osage Reservation. Council Oak Books.; FBI: The Osage Indian Murders (2014) :: Federal Bureau of Investigation (2014). The Osage Indian Murders. fbi.gov/history/famous-cases.",,,,
CB-000371,"Wounded Knee 1890: What the Army Did, What the Records Say, and Who Got Medals for It",wounded-knee-massacre-1890-seventh-cavalry-medals-of-honor-lakota,native_and_first_nations,"On December 29, 1890, soldiers of the US 7th Cavalry surrounded a Lakota encampment at Wounded Knee Creek on the Pine Ridge Reservation and opened fire on Big Foot's band. Between 250 and 300 Lakota were killed — approximately two-thirds women and children. Twenty US soldiers received the Medal of Honor for the engagement. No soldier was charged with any offense. A bill to rescind the medals passed the House in 2024.",published,2026-04-04,f,f,0,,"Jensen et al: Eyewitness at Wounded Knee (1991) :: Jensen, Richard E. et al. (eds.) (1991). Eyewitness at Wounded Knee. University of Nebraska Press.; Utley: The Last Days of the Sioux Nation (1963) :: Utley, Robert M. (1963). The Last Days of the Sioux Nation. Yale University Press.; Ostler: The Plains Sioux and US Colonialism (2004) :: Ostler, Jeffrey (2004). The Plains Sioux and U.S. Colonialism. Cambridge University Press.; Coleman: Voices of Wounded Knee (2000) :: Coleman, William S.E. (2000). Voices of Wounded Knee. University of Nebraska Press.; Brown: Bury My Heart at Wounded Knee (1970) :: Brown, Dee (1970). Bury My Heart at Wounded Knee. Holt, Rinehart and Winston.; Adjutant General Report (1891) :: Adjutant General of the Army (1891). Report of the Secretary of War, vol. 1. GPO.",,,,
CB-000372,Blood Quantum: The Federal Definition of Indianness That Has No Basis in Indigenous Culture,blood-quantum-federal-definition-native-american-enrollment-identity,native_and_first_nations,"Blood quantum — the practice of measuring Indigenous identity by fraction of 'Indian blood' and setting enrollment thresholds at one-quarter, one-eighth, or other fractions — was imposed by the federal government primarily through the Dawes Act era rolls. It has no basis in how Indigenous nations historically defined membership. It functions, over generations, as a mathematical definition of extinction.",published,2026-04-04,f,f,0,,"Sturm: Blood Politics (2002) :: Sturm, Circe (2002). Blood Politics: Race, Culture, and Identity in the Cherokee Nation of Oklahoma. University of California Press.; Garroutte: Real Indians (2003) :: Garroutte, Eva Marie (2003). Real Indians: Identity and the Survival of Native America. University of California Press.; TallBear: Native American DNA (2013) :: TallBear, Kim (2013). Native American DNA: Tribal Belonging and the False Promise of Genetic Science. University of Minnesota Press.; Hoxie: A Final Promise (1984) :: Hoxie, Frederick E. (1984). A Final Promise: The Campaign to Assimilate the Indians. University of Nebraska Press.; Lawrence: Real Indians and Others (2004) :: Lawrence, Bonita (2004). Real Indians and Others: Mixed-Blood Urban Native Peoples and Indigenous Nationhood. University of Nebraska Press.; Kauanui: Hawaiian Blood (2008) :: Kauanui, J. Kehaulani (2008). Hawaiian Blood: Colonialism and the Politics of Sovereignty and Indigeneity. Duke University Press.",,,,
